사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2025-12,경부선,1719,오산,284823,280757,58679,59123
2025-12,경부선,1720,진위,39691,35147,10051,9905
2025-12,경부선,1721,송탄,117568,112970,24552,24276
2025-12,경부선,1722,서정리,225191,212873,40989,39835
2025-12,경부선,1723,평택지제,123207,114164,17075,15924
2025-12,경부선,1724,평택,344690,339073,80129,78187
2025-12,경부선,1725,성환,127665,122268,23584,23317
2025-12,경부선,1726,직산,25407,25312,5947,5540
2025-12,경부선,1727,두정,211449,224064,34242,34838
2025-12,경부선,1728,천안,158853,149931,62147,60778
2025-12,경부선,1729,당정,151847,145081,39050,37270
2025-12,경부선,1749,서동탄,36237,30289,8070,7351
2025-12,경부선,1750,광명,107339,88134,13629,12645
2025-12,경인선,1801,개봉,505718,485542,187333,191770
2025-12,경인선,1802,오류동,251702,229473,100721,97400
2025-12,경인선,1803,역곡,613671,604936,178219,183699
2025-12,경인선,1804,부천,717728,715708,266435,269443
2025-12,경인선,1805,송내,622512,610896,156125,153976
2025-12,경인선,1806,부평,743918,785089,178715,179110
2025-12,경인선,1807,백운,146043,138270,64804,64768
2025-12,경인선,1808,동암,342528,345239,121265,122533
2025-12,경인선,1809,주안,454269,406573,109364,96806
2025-12,경인선,1810,제물포,251729,239581,76276,75802
2025-12,경인선,1811,동인천,285097,262899,127958,124902
2025-12,경인선,1812,인천,74504,58756,36136,33808
2025-12,경인선,1813,구일,209188,235657,50515,49690
2025-12,경인선,1814,소사,176390,169160,70077,70108
2025-12,경인선,1815,부개,179736,162824,78388,77064
2025-12,경인선,1816,간석,124107,115801,52246,50558
2025-12,경인선,1817,도원,66866,66876,32083,33667
2025-12,경인선,1821,온수(성공회대입구),135519,124763,55917,54429
2025-12,경인선,1822,중동,190124,172755,87843,86457
2025-12,경인선,1823,도화,79201,69745,43034,41548
2025-12,경원선,1008,이촌(국립중앙박물관),87642,70831,35231,29330
2025-12,경원선,1009,서빙고,54108,52024,20723,20531
2025-12,경원선,1010,한남,81683,84897,27966,26269
2025-12,경원선,1011,옥수,1513,1076,172,96
2025-12,경원선,1012,응봉,36724,30445,17563,15676
2025-12,경원선,1013,왕십리(성동구청),462904,459439,91014,91313
2025-12,경원선,1014,청량리(서울시립대입구),409641,407691,164813,170642
2025-12,경원선,1016,외대앞,292910,283190,56855,56163
2025-12,경원선,1017,신이문,182000,167671,73083,71867
2025-12,경원선,1018,석계,164734,186994,65109,69775
2025-12,경원선,1019,광운대,199643,191314,61203,59354
2025-12,경원선,1020,월계,147850,132905,65091,63095
2025-12,경원선,1021,녹천,92718,76215,39802,36317
2025-12,경원선,1022,창동,152,0,14,0
2025-12,경원선,1901,방학,188076,182883,121969,119552
2025-12,경원선,1902,도봉,102391,95487,77167,76341
2025-12,경원선,1903,도봉산,125757,67545,109714,83884
2025-12,경원선,1904,망월사,183880,181544,80109,81796
2025-12,경원선,1905,회룡,237239,230589,173631,171604
2025-12,경원선,1906,의정부,476360,484222,136569,136146
2025-12,경원선,1907,가능,133713,127150,63348,62585
2025-12,경원선,1908,녹양,91937,87807,43574,41414
2025-12,경원선,1909,양주,159353,153156,61805,59669
2025-12,경원선,1910,덕계,154148,142467,40619,39125
2025-12,경원선,1911,덕정,155133,144418,41668,41820
2025-12,경원선,1912,지행,152397,152406,51099,50914
2025-12,경원선,1913,동두천중앙,53300,51285,35608,35534
2025-12,경원선,1914,보산,33721,30401,14363,13806
2025-12,경원선,1915,동두천,39959,38576,18547,18569
2025-12,경원선,1916,소요산,11421,11920,39371,39334
2025-12,경원선,1917,청산,2402,1946,1972,1710
2025-12,경원선,1918,전곡,25943,23449,12974,11756
2025-12,경원선,1919,연천,12980,11534,16219,15806
2025-12,안산선,1751,산본,383299,407625,128008,129847
2025-12,안산선,1752,대야미,117841,101142,36635,34181
2025-12,안산선,1753,반월,99256,94820,37174,36590
2025-12,안산선,1754,상록수,375248,375253,83139,84620
2025-12,안산선,1755,한대앞,244393,241921,51454,52412
2025-12,안산선,1756,중앙,496657,519937,82725,81641
2025-12,안산선,1757,고잔,230659,222813,45628,43820
2025-12,안산선,1758,초지,129535,132018,21061,21389
2025-12,안산선,1759,안산,317888,296526,44497,42323
2025-12,안산선,1760,신길온천,52693,46364,11838,11275
2025-12,안산선,1761,정왕,256467,258408,34049,35179
2025-12,안산선,1762,오이도,196181,196471,37889,37734
2025-12,안산선,1763,수리산,87237,70027,35399,32000
2025-12,과천선,1450,선바위,197395,164942,36555,35210
2025-12,과천선,1451,경마공원,75237,74962,80119,79650
2025-12,과천선,1452,대공원,63270,63470,26643,27679
2025-12,과천선,1453,과천,122596,110427,44884,43104
2025-12,과천선,1454,정부과천청사,331748,346926,67145,66334
2025-12,과천선,1455,인덕원,646633,658335,157269,160851
2025-12,과천선,1456,평촌,460731,444374,83176,82321
2025-12,과천선,1457,범계,756244,758585,152256,148324
2025-12,분당선,1023,선릉,322924,493882,54925,72831
2025-12,분당선,1024,한티,392256,412123,79907,81161
2025-12,분당선,1025,도곡,172214,178367,63259,61283
2025-12,분당선,1026,구룡,80639,77715,29644,29545
2025-12,분당선,1027,개포동,99232,101905,37260,37885
2025-12,분당선,1028,대모산입구,137519,128919,41336,40726
2025-12,분당선,1030,수서,460661,485290,86773,91895
2025-12,분당선,1031,복정,66,0,2,0
2025-12,분당선,1846,수원,220584,209045,40520,38067
2025-12,분당선,1847,서울숲,322474,334264,33487,33111
2025-12,분당선,1848,압구정로데오,558976,615045,53151,51336
2025-12,분당선,1849,강남구청,240840,281220,45547,49478
2025-12,분당선,1850,선정릉,178300,184418,36817,35309
2025-12,분당선,1851,가천대,275838,275166,31509,32165
2025-12,분당선,1852,태평,306600,283271,106147,111232
2025-12,분당선,1853,모란,437002,439078,189330,206636
2025-12,분당선,1854,야탑,605258,644137,198140,198818
2025-12,분당선,1855,서현,605071,620751,149938,146100
2025-12,분당선,1856,수내,317381,316384,90710,89283
2025-12,분당선,1857,정자,482948,507120,81455,81117
2025-12,분당선,1858,미금,349004,355483,129247,134269
2025-12,분당선,1859,오리,259522,224364,82587,73332
2025-12,분당선,1860,이매,126141,120209,45806,44068
2025-12,분당선,1861,보정,56087,47774,22492,21229
2025-12,분당선,1862,죽전,333133,374928,83543,90217
2025-12,분당선,1863,구성,183471,186646,49846,50407
2025-12,분당선,1864,신갈,114324,110401,36828,36387
2025-12,분당선,1865,기흥,267483,245564,55775,53637
2025-12,분당선,1866,상갈,121468,114908,36835,35817
2025-12,분당선,1867,청명,118103,111797,27645,27556
2025-12,분당선,1868,영통,245326,246624,41723,41513
2025-12,분당선,1869,망포,413849,396812,54167,52608
2025-12,분당선,1870,매탄권선,141067,137278,30448,29537
2025-12,분당선,1871,수원시청,384843,420455,62138,63612
2025-12,분당선,1872,매교,132289,130656,32028,32518
2025-12,일산선,1948,원흥,271960,256780,74073,71441
2025-12,일산선,1949,지축,55,0,1,0
2025-12,일산선,1950,삼송,502378,478239,113758,113739
2025-12,일산선,1951,원당,265072,251515,94963,94418
2025-12,일산선,1952,화정,390132,404368,141752,145240
2025-12,일산선,1953,대곡,317040,288389,30884,28254
2025-12,일산선,1954,백석,233261,239593,92423,92352
2025-12,일산선,1955,마두,161644,161906,77553,79255
2025-12,일산선,1956,정발산,170577,175601,67737,64115
2025-12,일산선,1957,주엽,173570,166898,101950,103459
2025-12,일산선,1958,대화,253751,199448,91285,84744
2025-12,중앙선,1015,회기,715031,669408,136388,133987
2025-12,중앙선,1201,중랑,119437,110875,54678,54573
2025-12,중앙선,1202,상봉,141479,135792,48943,46583
2025-12,중앙선,1203,망우,160742,151795,79966,80763
2025-12,중앙선,1204,양원,72383,69654,24811,24465
2025-12,중앙선,1205,구리,181005,197646,56966,60402
2025-12,중앙선,1206,도농,222797,202531,73617,70852
2025-12,중앙선,1207,양정,9180,7489,5722,4965
2025-12,중앙선,1208,덕소,118755,116979,51960,52511
2025-12,중앙선,1209,도심,63578,48563,23566,21552
2025-12,중앙선,1210,팔당,16626,17464,7576,7518
2025-12,중앙선,1211,운길산,9158,8322,7428,7485
2025-12,중앙선,1212,양수,30728,30870,21563,21400
2025-12,중앙선,1213,신원,2023,1874,2740,2462
2025-12,중앙선,1214,국수,11235,10695,11050,11216
2025-12,중앙선,1215,아신,9750,9980,6453,6437
2025-12,중앙선,1216,오빈,4365,4357,4854,4931
2025-12,중앙선,1217,양평,65540,67152,37826,38289
2025-12,중앙선,1218,원덕,4429,4354,6075,5828
2025-12,중앙선,1219,용문,30080,30038,32545,32529
2025-12,중앙선,1220,지평,681,885,820,885
2025-12,장항선,1401,봉명,29032,29410,12166,11821
2025-12,장항선,1402,쌍용(나사렛대),64174,61451,18436,17744
2025-12,장항선,1403,아산,116753,102130,16622,15532
2025-12,장항선,1404,탕정,56889,50090,8504,8020
2025-12,장항선,1405,배방,33144,32390,9149,9061
2025-12,장항선,1407,온양온천,92248,92617,72154,72542
2025-12,장항선,1408,신창(순천향대),47870,45481,6673,6017
2025-12,경의선,1252,신촌,24610,31039,4128,5204
2025-12,경의선,1261,효창공원앞,81058,91761,18561,20784
2025-12,경의선,1263,서강대,57131,57506,12701,11896
2025-12,경의선,1265,가좌,134781,130112,48004,47755
2025-12,경의선,1267,수색,74400,76547,19492,19812
2025-12,경의선,1268,한국항공대,66800,60994,9579,9037
2025-12,경의선,1269,강매,76308,62633,21429,20033
2025-12,경의선,1270,행신,188064,189422,43368,44202
2025-12,경의선,1271,능곡,97960,91667,37989,37253
2025-12,경의선,1272,곡산,10947,11746,6052,6058
2025-12,경의선,1273,백마,181031,174498,44368,43891
2025-12,경의선,1274,풍산,149025,140263,49670,48573
2025-12,경의선,1275,일산,238262,231150,80889,80772
2025-12,경의선,1276,탄현,187775,177827,49254,48819
2025-12,경의선,1277,야당,200222,205875,45025,44805
2025-12,경의선,1278,운정,193220,180996,50916,49555
2025-12,경의선,1279,금릉,119620,115135,35996,35522
2025-12,경의선,1280,금촌,148901,142134,54363,54369
2025-12,경의선,1282,월롱,51769,43479,10138,10354
2025-12,경의선,1283,파주,31231,23911,7163,6267
2025-12,경의선,1284,문산,127002,121873,50405,49790
2025-12,경의선,1285,임진강,267,216,165,147
2025-12,경의선,1286,운천,43,36,136,104
2025-12,경의선,1291,서울역,77157,101092,19494,23204
2025-12,경의선,1292,공덕,117601,89915,18469,17090
2025-12,경의선,1293,홍대입구,67386,83921,6374,6983
2025-12,경의선,1294,디지털미디어시티,68961,63869,13603,14771
2025-12,경의선,1295,김포공항,3,0,0,0
2025-12,경의선,1296,계양,0,0,1,0
2025-12,경의선,1297,검암,2,0,2,0
2025-12,경춘선,1311,신내,62101,58609,22961,22356
2025-12,경춘선,1312,갈매,60699,52174,22853,21466
2025-12,경춘선,1313,별내,54863,49786,22526,20185
2025-12,경춘선,1314,퇴계원,69354,62005,35458,33853
2025-12,경춘선,1315,사릉,44409,42528,19275,19108
2025-12,경춘선,1316,금곡,30510,29176,18991,18338
2025-12,경춘선,1317,평내호평,142961,138271,54397,52517
2025-12,경춘선,1318,천마산,28844,25774,19441,19523
2025-12,경춘선,1319,마석,85529,81478,41407,40389
2025-12,경춘선,1320,대성리,9601,9008,6282,5950
2025-12,경춘선,1321,청평,32460,31433,19716,19256
2025-12,경춘선,1322,상천,3259,2968,3630,3372
2025-12,경춘선,1323,가평,40853,40065,15767,15415
2025-12,경춘선,1324,굴봉산,1424,2051,1387,1392
2025-12,경춘선,1325,백양리,6491,5337,1363,1405
2025-12,경춘선,1326,강촌,7874,7961,3640,3623
2025-12,경춘선,1327,김유정,7161,7262,3711,3800
2025-12,경춘선,1328,남춘천,69511,68929,27066,27479
2025-12,경춘선,1329,춘천,35415,30589,14982,12854
2025-12,수인선,1873,고색,145365,139528,25966,24305
2025-12,수인선,1874,오목천,114581,95820,21263,20111
2025-12,수인선,1875,어천,38639,35827,9816,10688
2025-12,수인선,1876,야목,17752,14293,4319,3680
2025-12,수인선,1877,사리,131042,111522,24127,21705
2025-12,수인선,1878,달월,1707,1257,1186,689
2025-12,수인선,1879,월곶,68628,62093,22410,21904
2025-12,수인선,1880,소래포구,101737,94179,52942,51868
2025-12,수인선,1881,인천논현,121875,129319,46003,46301
2025-12,수인선,1882,호구포,88521,91672,26635,26645
2025-12,수인선,1883,남동인더스파크,53725,60859,7426,7954
2025-12,수인선,1884,원인재,94464,99193,39780,39594
2025-12,수인선,1885,연수,106262,104594,40966,41112
2025-12,수인선,1886,송도,53304,46611,27133,25941
2025-12,수인선,1888,인하대,176156,161634,36937,34726
2025-12,수인선,1889,숭의,97377,88533,36554,34267
2025-12,수인선,1890,신포,38904,39542,16721,17122
2025-12,수인선,1891,인천,17629,30023,14000,17336
2025-12,경강선,1501,판교,164847,161355,23803,20296
2025-12,경강선,1502,이매,25172,21400,6673,6490
2025-12,경강선,1503,삼동,57136,52625,16314,16463
2025-12,경강선,1504,경기광주,211373,201570,40387,39889
2025-12,경강선,1505,초월,96440,87861,20056,19583
2025-12,경강선,1506,곤지암,55180,51610,15834,15400
2025-12,경강선,1507,신둔도예촌,37779,34467,10079,9655
2025-12,경강선,1508,이천,80634,85104,17812,18541
2025-12,경강선,1509,부발,65913,62614,12737,12416
2025-12,경강선,1510,세종대왕릉,6612,6311,3738,3550
2025-12,경강선,1511,여주,75018,72886,23629,23347
2025-12,경강선,1512,성남,33585,28790,7739,8057
2025-12,서해선,1980,김포공항,91289,127491,14015,26402
2025-12,서해선,1981,원종,105994,100511,49465,50855
2025-12,서해선,1982,부천종합운동장,79529,67647,10850,9015
2025-12,5호선,2511,방화,152646,146486,63595,62170
2025-12,5호선,2512,개화산,138175,132471,50685,48704
2025-12,5호선,2513,김포공항,384535,234954,63767,48286
2025-12,5호선,2514,송정,142940,136158,56255,53997
2025-12,5호선,2515,마곡,411018,415110,73717,71327
2025-12,5호선,2516,발산,604025,630332,145934,141543
2025-12,5호선,2517,우장산,350940,345655,112078,117038
2025-12,5호선,2518,화곡,715104,663348,172511,165107
2025-12,5호선,2519,까치산,675766,641177,178964,181092
2025-12,5호선,2520,신정(은행정),340945,274808,76407,74665
2025-12,5호선,2521,목동,405940,445694,99517,101169
2025-12,5호선,2522,오목교(목동운동장앞),556179,596656,107806,106662
2025-12,5호선,2523,양평,215525,211118,35306,34693
2025-12,5호선,2524,영등포구청,128672,125637,22966,22673
2025-12,5호선,2525,영등포시장,296387,297468,87785,89860
2025-12,5호선,2526,신길,139455,146782,14015,14585
2025-12,5호선,2527,여의도,825021,862132,69169,65932
2025-12,5호선,2528,여의나루,308750,375442,32658,32481
2025-12,5호선,2529,마포,384974,394663,76472,75804
2025-12,5호선,2530,공덕,384959,406657,60671,58164
2025-12,5호선,2531,애오개,162925,159827,43814,42435
2025-12,5호선,2532,충정로(경기대입구),129667,134045,19757,19684
2025-12,5호선,2533,서대문,494987,500670,83934,81001
2025-12,5호선,2534,광화문(세종문화회관),1071243,1134292,128365,128349
2025-12,5호선,2535,종로3가,387600,388061,105419,104934
2025-12,5호선,2536,을지로4가,158208,160970,47741,46774
2025-12,5호선,2537,동대문역사문화공원(DDP),89461,100899,9652,10857
2025-12,5호선,2538,청구,82958,82539,22249,18729
2025-12,5호선,2539,신금호,151274,158483,43117,48349
2025-12,5호선,2540,행당,191899,170533,56152,51093
2025-12,5호선,2541,왕십리(성동구청),119534,142571,30290,30471
2025-12,5호선,2542,마장,143839,135210,47364,47622
2025-12,5호선,2543,답십리,397825,352132,93725,90433
2025-12,5호선,2544,장한평,497855,489509,113294,115667
2025-12,5호선,2545,군자(능동),331454,370839,52359,57137
2025-12,5호선,2546,아차산(어린이대공원후문),344159,336952,118319,115915
2025-12,5호선,2547,광나루(장신대),275492,262807,74744,73779
2025-12,5호선,2548,천호(풍납토성),474170,450735,186154,182188
2025-12,5호선,2549,강동,455684,438424,132335,129137
2025-12,5호선,2550,길동,190452,194336,93988,96496
2025-12,5호선,2551,굽은다리(강동구민회관앞),223610,214671,96259,91146
2025-12,5호선,2552,명일,182710,177214,77259,78591
2025-12,5호선,2553,고덕,236993,229724,88707,86050
2025-12,5호선,2554,상일동,345174,325645,106810,106428
2025-12,5호선,2555,둔촌동,311602,305857,109611,109260
2025-12,5호선,2556,올림픽공원(한국체대),132149,112283,43960,39373
2025-12,5호선,2557,방이,175124,180676,60507,60572
2025-12,5호선,2558,오금,87363,89661,25803,25091
2025-12,5호선,2559,개롱,142615,146218,57582,59845
2025-12,5호선,2560,거여,233051,227534,79279,77731
2025-12,5호선,2561,마천,158329,135154,62214,63598
2025-12,5호선,2562,강일,136469,125135,52223,50140
2025-12,5호선,2563,미사,469529,470951,104869,104138
2025-12,5호선,2564,하남풍산,106149,104548,41741,41062
2025-12,5호선,2565,하남시청(덕풍·신장),185253,169380,92530,92586
2025-12,5호선,2566,하남검단산,156414,146280,61680,61101
2025-12,6호선,2611,응암,411953,407569,142624,141559
2025-12,6호선,2612,역촌,82660,103304,37618,37676
2025-12,6호선,2613,불광,101296,96626,51371,41050
2025-12,6호선,2614,독바위,57443,56971,22293,27360
2025-12,6호선,2615,연신내,74,0,5,0
2025-12,6호선,2616,구산,189949,130980,61759,66561
2025-12,6호선,2617,새절(신사),288401,265992,98618,98588
2025-12,6호선,2618,증산(명지대앞),211593,207772,76210,77144
2025-12,6호선,2619,디지털미디어시티,368403,404196,66518,66898
2025-12,6호선,2620,월드컵경기장(성산),101913,105835,50063,48896
2025-12,6호선,2621,마포구청,361485,327639,90671,83747
2025-12,6호선,2622,망원,434597,466897,94388,98137
2025-12,6호선,2623,합정,391822,393493,47671,44357
2025-12,6호선,2624,상수,321130,364940,27397,27824
2025-12,6호선,2625,광흥창(서강),233208,221895,61374,60423
2025-12,6호선,2626,대흥(서강대앞),242822,254194,54263,54785
2025-12,6호선,2627,공덕,489910,478901,94528,88050
2025-12,6호선,2628,효창공원앞,192483,176368,42007,38760
2025-12,6호선,2629,삼각지(전쟁기념관),237548,216095,23267,20194
2025-12,6호선,2630,녹사평(용산구청),152543,161544,20104,19888
2025-12,6호선,2631,이태원,357201,405490,32943,33083
2025-12,6호선,2632,한강진,297246,358417,19486,19646
2025-12,6호선,2633,버티고개,54576,50004,14597,16250
2025-12,6호선,2634,약수,92331,91431,22628,22595
2025-12,6호선,2635,청구,95372,91587,20841,22255
2025-12,6호선,2636,신당,240983,243543,44524,43214
2025-12,6호선,2637,동묘앞,213526,221335,78226,72867
2025-12,6호선,2638,창신,89771,73052,20868,19444
2025-12,6호선,2639,보문,219167,205547,35865,33992
2025-12,6호선,2640,안암(고대병원앞),370416,363227,44020,43294
2025-12,6호선,2641,고려대(종암),236966,224892,39930,39457
2025-12,6호선,2642,월곡(동덕여대),288667,276799,75599,75561
2025-12,6호선,2643,상월곡(한국과학기술연구원),156228,139781,45614,44361
2025-12,6호선,2644,돌곶이,293365,267714,75922,75351
2025-12,6호선,2645,석계,298382,305900,91944,90769
2025-12,6호선,2646,태릉입구,145144,159194,38209,37773
2025-12,6호선,2647,화랑대(서울여대입구),296392,238903,56405,51820
2025-12,6호선,2648,봉화산(서울의료원),202424,188149,58694,58161
